project,file,LOC,Cyclomatic_Complexity,Maintainability_Index,Pylint_Score,PEP8_Violations,Security_Issues
django,python_projects\django\django\conf\locale\ky\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\lt\formats.py,45,0.0,0.0,9.29,0,0
django,python_projects\django\django\conf\locale\lt\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\lv\formats.py,46,0.0,0.0,9.29,0,0
django,python_projects\django\django\conf\locale\lv\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\mk\formats.py,40,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\mk\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\ml\formats.py,43,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\ml\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\mn\formats.py,21,0.0,0.0,6.67,0,0
django,python_projects\django\django\conf\locale\mn\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\ms\formats.py,38,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\ms\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\nb\formats.py,41,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\nb\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\nl\formats.py,92,0.0,0.0,9.29,0,0
django,python_projects\django\django\conf\locale\nl\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\nn\formats.py,41,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\nn\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\pl\formats.py,30,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\pl\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\pt\formats.py,39,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\pt\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\pt_BR\formats.py,34,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\pt_BR\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\ro\formats.py,35,0.0,0.0,9.29,0,0
django,python_projects\django\django\conf\locale\ro\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\ru\formats.py,30,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\ru\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\sk\formats.py,30,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\sk\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\sl\formats.py,44,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\sl\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\sq\formats.py,21,0.0,0.0,8.57,0,0
django,python_projects\django\django\conf\locale\sq\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\sr\formats.py,44,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\sr\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\sr_Latn\formats.py,44,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\sr_Latn\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\sv\formats.py,35,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\sv\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\ta\formats.py,21,0.0,0.0,7.5,0,0
django,python_projects\django\django\conf\locale\ta\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\te\formats.py,21,0.0,0.0,7.5,0,0
django,python_projects\django\django\conf\locale\te\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\tg\formats.py,32,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\tg\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\th\formats.py,33,0.0,0.0,9.29,0,0
django,python_projects\django\django\conf\locale\th\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\tk\formats.py,32,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\tk\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\tr\formats.py,30,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\tr\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\ug\formats.py,14,0.0,0.0,9.0,0,0
django,python_projects\django\django\conf\locale\ug\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\uk\formats.py,35,0.0,0.0,9.29,0,0
django,python_projects\django\django\conf\locale\uk\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\uz\formats.py,30,0.0,0.0,9.23,0,0
django,python_projects\django\django\conf\locale\uz\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\vi\formats.py,21,0.0,0.0,8.89,0,0
django,python_projects\django\django\conf\locale\vi\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\zh_Hans\formats.py,42,0.0,0.0,9.29,0,0
django,python_projects\django\django\conf\locale\zh_Hans\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\locale\zh_Hant\formats.py,42,0.0,0.0,9.29,0,0
django,python_projects\django\django\conf\locale\zh_Hant\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\conf\urls\i18n.py,39,2.5,99.31245979744233,9.29,1,0
django,python_projects\django\django\conf\urls\static.py,30,4.0,93.88777391847735,7.5,1,0
django,python_projects\django\django\conf\urls\__init__.py,9,0.0,0.0,8.57,0,0
django,python_projects\django\django\contrib\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\contrib\admin\actions.py,95,8.0,76.75153380695619,8.93,0,0
django,python_projects\django\django\contrib\admin\apps.py,27,1.5,100.0,9.41,0,0
django,python_projects\django\django\contrib\admin\checks.py,1378,4.2063492063492065,0.0,6.39,70,0
django,python_projects\django\django\contrib\admin\decorators.py,111,1.6666666666666667,75.16144546165737,8.54,1,0
django,python_projects\django\django\contrib\admin\exceptions.py,25,1.0,100.0,4.44,0,0
django,python_projects\django\django\contrib\admin\filters.py,716,2.819672131147541,19.830000792549434,8.02,32,0
django,python_projects\django\django\contrib\admin\forms.py,31,2.0,92.08657862666348,8.33,0,0
django,python_projects\django\django\contrib\admin\helpers.py,565,3.019607843137255,20.554056647468542,7.43,14,6
django,python_projects\django\django\contrib\admin\models.py,199,3.727272727272727,49.16908251591034,6.85,5,0
django,python_projects\django\django\contrib\admin\options.py,2558,3.769230769230769,0.0,6.69,93,4
django,python_projects\django\django\contrib\admin\sites.py,622,3.15625,39.08946849408812,8.04,19,0
django,python_projects\django\django\contrib\admin\tests.py,257,1.25,64.64698105778359,0.0,8,0
django,python_projects\django\django\contrib\admin\utils.py,622,4.96875,28.178756382359964,8.52,9,0
django,python_projects\django\django\contrib\admin\widgets.py,622,2.3692307692307693,29.897041748353406,7.69,7,0
django,python_projects\django\django\contrib\admin\__init__.py,52,1.0,100.0,7.5,0,0
django,python_projects\django\django\contrib\admin\migrations\0001_initial.py,75,1.0,100.0,5.0,5,0
django,python_projects\django\django\contrib\admin\migrations\0002_logentry_remove_auto_add.py,21,1.0,100.0,4.0,0,0
django,python_projects\django\django\contrib\admin\migrations\0003_logentry_add_action_flag_choices.py,19,1.0,100.0,2.5,0,0
django,python_projects\django\django\contrib\admin\migrations\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\contrib\admin\templatetags\admin_list.py,547,4.857142857142857,34.20337050066967,8.45,21,9
django,python_projects\django\django\contrib\admin\templatetags\admin_modify.py,150,7.0,52.63371642781143,8.97,5,0
django,python_projects\django\django\contrib\admin\templatetags\admin_urls.py,70,4.0,48.74199161881601,7.25,0,0
django,python_projects\django\django\contrib\admin\templatetags\base.py,45,1.3333333333333333,85.29214814406161,6.0,2,0
django,python_projects\django\django\contrib\admin\templatetags\log.py,67,3.0,77.50628661945592,9.0,0,0
django,python_projects\django\django\contrib\admin\templatetags\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\contrib\admin\views\autocomplete.py,123,2.7142857142857144,73.89000045707762,8.47,1,0
django,python_projects\django\django\contrib\admin\views\decorators.py,19,3.0,100.0,8.57,1,0
django,python_projects\django\django\contrib\admin\views\main.py,619,8.333333333333334,26.820588967986925,9.01,11,0
django,python_projects\django\django\contrib\admin\views\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\contrib\admindocs\apps.py,7,1.0,100.0,6.0,0,0
django,python_projects\django\django\contrib\admindocs\middleware.py,33,6.5,89.33515851343655,6.15,0,0
django,python_projects\django\django\contrib\admindocs\urls.py,50,0.0,0.0,6.67,0,0
django,python_projects\django\django\contrib\admindocs\utils.py,268,3.0,54.32240821114713,8.25,4,4
django,python_projects\django\django\contrib\admindocs\views.py,523,7.083333333333333,31.40381404698384,8.6,15,0
django,python_projects\django\django\contrib\admindocs\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\contrib\auth\admin.py,251,3.3636363636363638,52.781991342938824,8.69,7,0
django,python_projects\django\django\contrib\auth\apps.py,36,2.5,100.0,8.7,2,0
django,python_projects\django\django\contrib\auth\backends.py,342,2.4651162790697674,42.836624826682275,6.89,14,0
django,python_projects\django\django\contrib\auth\base_user.py,164,1.4545454545454546,68.23822664252775,7.22,2,0
django,python_projects\django\django\contrib\auth\checks.py,262,9.0,48.6821187212704,6.33,9,0
django,python_projects\django\django\contrib\auth\context_processors.py,67,1.3076923076923077,84.80348774247443,8.39,0,0
django,python_projects\django\django\contrib\auth\decorators.py,135,1.5,71.92049257951564,8.94,1,0
django,python_projects\django\django\contrib\auth\forms.py,596,2.549019607843137,36.60137946300724,7.66,21,3
django,python_projects\django\django\contrib\auth\hashers.py,699,2.0163934426229506,35.84040947247546,8.74,9,9
django,python_projects\django\django\contrib\auth\middleware.py,291,3.4210526315789473,56.35662652062336,8.16,8,0
django,python_projects\django\django\contrib\auth\mixins.py,136,2.4,68.18220779305922,8.85,3,0
django,python_projects\django\django\contrib\auth\models.py,634,1.8472222222222223,36.86782235763689,7.65,13,0
django,python_projects\django\django\contrib\auth\password_validation.py,280,2.3333333333333335,56.511867005319026,8.08,7,0
django,python_projects\django\django\contrib\auth\signals.py,5,0.0,0.0,7.5,0,0
django,python_projects\django\django\contrib\auth\tokens.py,132,2.25,70.6979683299865,9.65,1,0
django,python_projects\django\django\contrib\auth\urls.py,36,0.0,0.0,6.67,2,0
django,python_projects\django\django\contrib\auth\validators.py,25,1.0,100.0,5.83,1,0
django,python_projects\django\django\contrib\auth\views.py,371,2.142857142857143,43.634038174090946,8.7,11,2
django,python_projects\django\django\contrib\auth\__init__.py,412,4.2,45.71171718852745,9.1,15,0
django,python_projects\django\django\contrib\auth\handlers\modwsgi.py,43,3.5,89.52418439889678,8.0,0,0
django,python_projects\django\django\contrib\auth\handlers\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\contrib\auth\management\__init__.py,254,3.8181818181818183,59.261795675330085,6.64,2,0
django,python_projects\django\django\contrib\auth\management\commands\changepassword.py,82,4.5,54.75299034729281,8.2,2,0
django,python_projects\django\django\contrib\auth\management\commands\createsuperuser.py,317,8.2,36.1379207534598,7.71,17,1
django,python_projects\django\django\contrib\auth\management\commands\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\contrib\auth\migrations\0001_initial.py,204,1.0,100.0,5.71,9,0
django,python_projects\django\django\contrib\auth\migrations\0002_alter_permission_name_max_length.py,15,1.0,100.0,2.5,0,0
django,python_projects\django\django\contrib\auth\migrations\0003_alter_user_email_max_length.py,17,1.0,100.0,2.5,0,0
django,python_projects\django\django\contrib\auth\migrations\0004_alter_user_username_opts.py,27,1.0,100.0,4.0,2,0
django,python_projects\django\django\contrib\auth\migrations\0005_alter_user_last_login_null.py,17,1.0,100.0,2.5,0,0
django,python_projects\django\django\contrib\auth\migrations\0006_require_contenttypes_0002.py,13,1.0,100.0,2.5,0,0
django,python_projects\django\django\contrib\auth\migrations\0007_alter_validators_add_error_messages.py,26,1.0,100.0,4.0,2,0
django,python_projects\django\django\contrib\auth\migrations\0008_alter_user_username_max_length.py,26,1.0,100.0,4.0,2,0
django,python_projects\django\django\contrib\auth\migrations\0009_alter_user_last_name_max_length.py,17,1.0,100.0,2.5,0,0
django,python_projects\django\django\contrib\auth\migrations\0010_alter_group_name_max_length.py,15,1.0,100.0,2.5,1,0
django,python_projects\django\django\contrib\auth\migrations\0011_update_proxy_permissions.py,76,3.3333333333333335,75.3964211872997,5.43,6,0
django,python_projects\django\django\contrib\auth\migrations\0012_alter_user_first_name_max_length.py,17,1.0,100.0,2.5,0,0
django,python_projects\django\django\contrib\auth\migrations\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\contrib\auth\templatetags\auth.py,25,5.0,65.60498034639333,8.67,2,0
django,python_projects\django\django\contrib\auth\templatetags\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\contrib\contenttypes\admin.py,143,5.571428571428571,57.79794292536405,4.0,7,0
django,python_projects\django\django\contrib\contenttypes\apps.py,22,1.5,100.0,8.67,1,0
django,python_projects\django\django\contrib\contenttypes\checks.py,46,6.0,57.08202981943734,5.91,0,0
django,python_projects\django\django\contrib\contenttypes\fields.py,820,2.210526315789474,33.911084681511134,7.38,30,0
django,python_projects\django\django\contrib\contenttypes\forms.py,133,2.5,61.746853567949756,0.0,3,0
django,python_projects\django\django\contrib\contenttypes\models.py,188,2.111111111111111,68.69092837515143,8.13,0,0
django,python_projects\django\django\contrib\contenttypes\prefetch.py,36,4.0,65.86161694766764,9.13,1,0
django,python_projects\django\django\contrib\contenttypes\views.py,88,19.0,70.61363071793025,8.2,2,0
django,python_projects\django\django\contrib\contenttypes\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\contrib\contenttypes\management\__init__.py,135,4.714285714285714,61.94880883440941,8.36,4,0
django,python_projects\django\django\contrib\contenttypes\management\commands\remove_stale_contenttypes.py,113,6.0,56.0419656150006,7.4,10,0
django,python_projects\django\django\contrib\contenttypes\management\commands\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\contrib\contenttypes\migrations\0001_initial.py,45,1.0,100.0,4.0,1,0
django,python_projects\django\django\contrib\contenttypes\migrations\0002_remove_content_type_name.py,42,2.0,100.0,5.38,0,0
django,python_projects\django\django\contrib\contenttypes\migrations\__init__.py,0,0.0,0.0,0.0,0,0
django,python_projects\django\django\contrib\flatpages\admin.py,22,1.0,100.0,8.0,0,0
django,python_projects\django\django\contrib\flatpages\apps.py,8,1.0,100.0,6.67,0,0
django,python_projects\django\django\contrib\flatpages\forms.py,74,3.6,50.918793113705604,7.14,3,0
django,python_projects\django\django\contrib\flatpages\middleware.py,20,5.5,91.0389848958784,6.88,1,0
